date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:07:36	57/57	---M--	200	added ('OK')	text/plain	etag:%225fe970a7-39%22	https://f23jy73ybfp0g5l7coxn4q-on.drv.tw/robots.txt		(from )
20:07:38	44001/44001	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Mar%202021%2000:18:59%20GMT	https://f23jy73ybfp0g5l7coxn4q-on.drv.tw/Mahashivratri.com/	C:/My%20Web%20Sites/Mahashivratri.com_/f23jy73ybfp0g5l7coxn4q-on.drv.tw/Mahashivratri.com/index.html	(from )
20:07:47	90596/90596	---M--	200	added ('OK')	image/jpeg	etag:%22v15a%22	https://1.bp.blogspot.com/-gkR6p7_AvYQ/YD5CSGWFyfI/AAAAAAAAAU0/V9uA0GBbqFQBYjIXkCcPo4VaeqGI1pBQACLcBGAsYHQ/s702/Maha-Shivaratri-SMS.jpg	C:/My%20Web%20Sites/Mahashivratri.com_/1.bp.blogspot.com/-gkR6p7_AvYQ/YD5CSGWFyfI/AAAAAAAAAU0/V9uA0GBbqFQBYjIXkCcPo4VaeqGI1pBQACLcBGAsYHQ/s702/Maha-Shivaratri-SMS.jpg	(from https://f23jy73ybfp0g5l7coxn4q-on.drv.tw/Mahashivratri.com/)
20:07:48	52789/52789	---M-Z	200	added ('OK')	text/css	etag:%225eb03d2a-ce35%22	https://cdnjs.cloudflare.com/ajax/libs/animate.css/3.5.2/animate.min.css	C:/My%20Web%20Sites/Mahashivratri.com_/cdnjs.cloudflare.com/ajax/libs/animate.css/3.5.2/animate.min.css	(from https://f23jy73ybfp0g5l7coxn4q-on.drv.tw/Mahashivratri.com/)
20:07:52	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/Mahashivratri.com_/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://f23jy73ybfp0g5l7coxn4q-on.drv.tw/Mahashivratri.com/)
20:07:59	155758/155758	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:08%20GMT	https://maxcdn.bootstrapcdn.com/bootstrap/4.3.1/css/bootstrap.min.css	C:/My%20Web%20Sites/Mahashivratri.com_/maxcdn.bootstrapcdn.com/bootstrap/4.3.1/css/bootstrap.min.css	(from https://f23jy73ybfp0g5l7coxn4q-on.drv.tw/Mahashivratri.com/)
20:08:03	21004/21004	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03fa9-520c%22	https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.14.7/umd/popper.min.js	C:/My%20Web%20Sites/Mahashivratri.com_/cdnjs.cloudflare.com/ajax/libs/popper.js/1.14.7/umd/popper.min.js	(from https://f23jy73ybfp0g5l7coxn4q-on.drv.tw/Mahashivratri.com/)
20:08:08	37414/37414	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-9226%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.css	C:/My%20Web%20Sites/Mahashivratri.com_/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.css	(from https://f23jy73ybfp0g5l7coxn4q-on.drv.tw/Mahashivratri.com/)
20:08:08	58072/58072	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2025%20Jan%202021%2022:04:08%20GMT	https://maxcdn.bootstrapcdn.com/bootstrap/4.3.1/js/bootstrap.min.js	C:/My%20Web%20Sites/Mahashivratri.com_/maxcdn.bootstrapcdn.com/bootstrap/4.3.1/js/bootstrap.min.js	(from https://f23jy73ybfp0g5l7coxn4q-on.drv.tw/Mahashivratri.com/)
20:08:09	88151/88151	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.4.0/jquery.min.js	C:/My%20Web%20Sites/Mahashivratri.com_/ajax.googleapis.com/ajax/libs/jquery/3.4.0/jquery.min.js	(from https://f23jy73ybfp0g5l7coxn4q-on.drv.tw/Mahashivratri.com/)
20:08:13	1996/1996	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2013%20Mar%202021%2013:08:18%20GMT	https://f23jy73ybfp0g5l7coxn4q-on.drv.tw/Mahashivratri.com/animation.css	C:/My%20Web%20Sites/Mahashivratri.com_/f23jy73ybfp0g5l7coxn4q-on.drv.tw/Mahashivratri.com/animation.8.delayed	(from https://f23jy73ybfp0g5l7coxn4q-on.drv.tw/Mahashivratri.com/)
20:08:24	5124/5124	---M-Z	200	added ('OK')	application/javascript	etag:W/%225d5c0136-1404%22	https://richinfo.co/js/rp.js	C:/My%20Web%20Sites/Mahashivratri.com_/richinfo.co/js/rp.js	(from https://f23jy73ybfp0g5l7coxn4q-on.drv.tw/Mahashivratri.com/)
20:08:51	33240/33240	---M--	200	added ('OK')	image/jpeg	etag:%22v4d4%22	https://1.bp.blogspot.com/-QO6OC_r4DVE/X0UcPsd7hzI/AAAAAAAABNM/4nbI4cqs6nktvaUr7PZK2_ttBtJypekGQCLcBGAsYHQ/s320/PicsArt_08-25-07.40.28.jpg	C:/My%20Web%20Sites/Mahashivratri.com_/1.bp.blogspot.com/-QO6OC_r4DVE/X0UcPsd7hzI/AAAAAAAABNM/4nbI4cqs6nktvaUr7PZK2_ttBtJypekGQCLcBGAsYHQ/s320/PicsArt_08-25-07.40.28.jpg	(from https://f23jy73ybfp0g5l7coxn4q-on.drv.tw/Mahashivratri.com/)
20:09:05	85578/85578	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/2.2.4/jquery.min.js	C:/My%20Web%20Sites/Mahashivratri.com_/ajax.googleapis.com/ajax/libs/jquery/2.2.4/jquery.min.js	(from https://f23jy73ybfp0g5l7coxn4q-on.drv.tw/Mahashivratri.com/)
20:09:09	51351/51351	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03f26-c897%22	https://cdnjs.cloudflare.com/ajax/libs/modernizr/2.8.3/modernizr.js	C:/My%20Web%20Sites/Mahashivratri.com_/cdnjs.cloudflare.com/ajax/libs/modernizr/2.8.3/modernizr.js	(from https://f23jy73ybfp0g5l7coxn4q-on.drv.tw/Mahashivratri.com/)
20:09:19	76071/76071	---M--	200	added ('OK')	image/jpeg	etag:%22v15f%22	https://1.bp.blogspot.com/-eLmIGBDq-GA/YD512XIunPI/AAAAAAAAAV0/wsOYScopk7MYjqNfVkSfbH4vAbGrL0WMQCLcBGAsYHQ/s797/imgonline-com-ua-twotoone-YuBpHIAeuHI.jpg	C:/My%20Web%20Sites/Mahashivratri.com_/1.bp.blogspot.com/-eLmIGBDq-GA/YD512XIunPI/AAAAAAAAAV0/wsOYScopk7MYjqNfVkSfbH4vAbGrL0WMQCLcBGAsYHQ/s797/imgonline-com-ua-twotoone-YuBpHIAeuHI.jpg	(from https://f23jy73ybfp0g5l7coxn4q-on.drv.tw/Mahashivratri.com/)
20:09:19	28691/28691	---M--	200	added ('OK')	image/png	etag:%22v7e1%22	https://1.bp.blogspot.com/-94KhtF3gAT8/XzZH321suPI/AAAAAAAAB9s/hF2P3R6W4IIdJr21XBeoQgtXaUPF5EUFACLcBGAsYHQ/s264/tr.png	C:/My%20Web%20Sites/Mahashivratri.com_/1.bp.blogspot.com/-94KhtF3gAT8/XzZH321suPI/AAAAAAAAB9s/hF2P3R6W4IIdJr21XBeoQgtXaUPF5EUFACLcBGAsYHQ/s264/tr.png	(from https://f23jy73ybfp0g5l7coxn4q-on.drv.tw/Mahashivratri.com/)
20:09:25	1174219/1174219	---M--	200	added ('OK')	image/gif	etag:%22v157%22	https://1.bp.blogspot.com/-vwcUr6CKHDE/YD5CVRF5AsI/AAAAAAAAAVI/VDrAxudTmYEHQjtNm9Te6ubofT9R-giCACLcBGAsYHQ/s480/giphy.gif	C:/My%20Web%20Sites/Mahashivratri.com_/1.bp.blogspot.com/-vwcUr6CKHDE/YD5CVRF5AsI/AAAAAAAAAVI/VDrAxudTmYEHQjtNm9Te6ubofT9R-giCACLcBGAsYHQ/s480/giphy.gif	(from https://f23jy73ybfp0g5l7coxn4q-on.drv.tw/Mahashivratri.com/)
